[INFO] [1744940648.617595937] [path_listener_py]: 接收到的路径有 227 个位姿
[INFO] [1744940649.678760765] [path_listener_py]: Pose 100: Position (x=0.40071332917680236, y=-2.703111119614709, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940649.679159174] [path_listener_py]: Pose 110: Position (x=0.34245527166806466, y=-2.4607817092654383, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940649.679556125] [path_listener_py]: Pose 120: Position (x=0.4015319632222041, y=-2.224371946221174, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940649.679955993] [path_listener_py]: Pose 130: Position (x=0.5381183452623826, y=-2.015226587880056, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940649.680353819] [path_listener_py]: Pose 140: Position (x=0.6237399896046507, y=-1.7810194310697849, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940649.680767395] [path_listener_py]: Pose 150: Position (x=0.687177643137836, y=-1.539655902082563, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940649.681169595] [path_listener_py]: Pose 160: Position (x=0.7664169173898823, y=-1.3028326258485432, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940649.681568880] [path_listener_py]: Pose 170: Position (x=0.8228671898375022, y=-1.0902265740964818, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940649.681966706] [path_listener_py]: Pose 180: Position (x=0.8093147146599686, y=-0.8406774675947073, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940649.682365407] [path_listener_py]: Pose 190: Position (x=0.7547229627478553, y=-0.597200596290838, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940649.682763525] [path_listener_py]: Pose 200: Position (x=0.6393779598083777, y=-0.37876721290897386, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
